station_id,name,physical_configuration,lat,lon,altitude,address,capacity,is_charging_station,rental_methods/0,rental_methods/1,rental_methods/2,rental_methods/3,groups/0,groups/1,,,
7000,Fort York  Blvd / Capreol Ct,REGULAR,43.639832,-79.395954,,Fort York  Blvd / Capreol Ct,47,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Fort York - Entertainment District,,,
7001,Wellesley Station Green P,ELECTRICBIKESTATION,43.66496415990742,-79.38355032,,Yonge / Wellesley,23,TRUE,KEY,TRANSITCARD,CREDITCARD,PHONE,E-Charging ,South,,,
7002,St. George St / Bloor St W,REGULAR,43.66713121831853,-79.39955506,,St. George St / Bloor St W,17,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,U of T - Hospital Row,,,
7003,Madison Ave / Bloor St W,REGULAR,43.66701830465472,-79.40279587,,Madison Ave / Bloor St W,15,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Bloor St W / Annex,,,
7005,King St W / York St,REGULAR,43.6480008,-79.383177,0,King St W / York St,21,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Financial District,,,
7006,Bay St / College St (East Side),REGULAR,43.660439,-79.385525,,Bay St / College St (East Side),31,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,U of T - Hospital Row,,,
7007,College St / Huron St,REGULAR,43.658148,-79.398167,,College St / Huron St,19,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,U of T - Hospital Row,,,
7008,Wellesley St W / Queen's Park Cres,REGULAR,43.663376,-79.392125,,Wellesley St W / Queen's Park Cres,18,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,U of T - Hospital Row,,,
7009,King St E / Jarvis St,REGULAR,43.650325,-79.372287,,King St E / Jarvis St,25,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Financial District,,,
7010,King St W / Spadina Ave,REGULAR,43.645323,-79.395003,,King St W / Spadina Ave,19,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Fort York - Entertainment District,,,
7012,Elizabeth St / Edward St (Bus Terminal),REGULAR,43.656026,-79.385327,,Elizabeth St / Edward St (Bus Terminal),15,FALSE,KEY,TRANSITCARD,CREDITCARD,PHONE,South,Financial District,,,
