Start Station Name,End Station Name,Count,Total Duration
9599 (test cyclochrome),9599 (test cyclochrome),1,85070
Ste-Émilie / Sir-Georges-Etienne-Cartier,Métro Jolicoeur (de Sève / Drake),2,3165601
Ste-Émilie / Sir-Georges-Etienne-Cartier,de la Montagne / Notre-Dame,16,16128442
de Courcelle / Acorn,de Courcelle / Acorn,11,2067123
de Courcelle / Acorn,Parc Georges St-Pierre (Oxford / Upper Lachine),3,2634636
de Courcelle / Acorn,de la Côte St-Paul / St-Ambroise,13,7471780
de Courcelle / Acorn,St-Jacques / Vinet,3,1823764
Métro Radisson (Sherbrooke / des Groseilliers),de Marseille / de la Pépinière,20,14346406
Métro Radisson (Sherbrooke / des Groseilliers),Métro Viau (Pierre-de-Coubertin / Viau),3,4271256
Bennett / Ste-Catherine,Pierre-de-Coubertin / Aird,131,64537743
Bennett / Ste-Catherine,Métro Viau (Pierre-de-Coubertin / Viau),7,5007684
Bennett / Ste-Catherine,Calixa-Lavallée / Rachel,1,2648282
Bennett / Ste-Catherine,Place Valois (Valois / Ontario),8,4232455
Bennett / Ste-Catherine,Notre-Dame / St-Gabriel,11,23078962
Bennett / Ste-Catherine,Square Viger (Berri / Viger),2,3371709
Bennett / Ste-Catherine,Parc du Père-Marquette (de Bellechasse / de Lanaudière),1,2342228
Métro Radisson (Sherbrooke / des Groseilliers),Métro Frontenac (Ontario / du Havre),7,13163576
Métro Henri-Bourassa (Henri-Bourassa / Millen),Clark / de l'Arcade,1,1902854
Bennett / Ste-Catherine,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),8,28433556
Bennett / Ste-Catherine,Émile-Duployé / Rachel,6,12998830
Bennett / Ste-Catherine,Métro Papineau (Dorion / De Maisonneuve),10,15205414
Métro Radisson (Sherbrooke / des Groseilliers),Métro Radisson (Sherbrooke / des Groseilliers),14,13992743
Bennett / Ste-Catherine,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),33,50501160
Bennett / Ste-Catherine,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),59,37724524
Métro Henri-Bourassa (Henri-Bourassa / Millen),Métro Beaubien (de St-Vallier / Beaubien),2,4158877
