Start Station Name,End Station Name,Count
9599 (test cyclochrome),9599 (test cyclochrome),1
Ste-Émilie / Sir-Georges-Etienne-Cartier,Métro Jolicoeur (de Sève / Drake),2
Ste-Émilie / Sir-Georges-Etienne-Cartier,de la Montagne / Notre-Dame,16
de Courcelle / Acorn,de Courcelle / Acorn,11
de Courcelle / Acorn,Parc Georges St-Pierre (Oxford / Upper Lachine),3
de Courcelle / Acorn,de la Côte St-Paul / St-Ambroise,13
de Courcelle / Acorn,St-Jacques / Vinet,3
Métro Radisson (Sherbrooke / des Groseilliers),de Marseille / de la Pépinière,20
Métro Radisson (Sherbrooke / des Groseilliers),Métro Viau (Pierre-de-Coubertin / Viau),3
Bennett / Ste-Catherine,Pierre-de-Coubertin / Aird,131
Bennett / Ste-Catherine,Métro Viau (Pierre-de-Coubertin / Viau),7
Bennett / Ste-Catherine,Calixa-Lavallée / Rachel,1
Bennett / Ste-Catherine,Place Valois (Valois / Ontario),8
Bennett / Ste-Catherine,Notre-Dame / St-Gabriel,11
Bennett / Ste-Catherine,Square Viger (Berri / Viger),2
Bennett / Ste-Catherine,Parc du Père-Marquette (de Bellechasse / de Lanaudière),1
Métro Radisson (Sherbrooke / des Groseilliers),Métro Frontenac (Ontario / du Havre),7
Métro Henri-Bourassa (Henri-Bourassa / Millen),Clark / de l'Arcade,1
Bennett / Ste-Catherine,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),8
Bennett / Ste-Catherine,Émile-Duployé / Rachel,6
Bennett / Ste-Catherine,Métro Papineau (Dorion / De Maisonneuve),10
Métro Radisson (Sherbrooke / des Groseilliers),Métro Radisson (Sherbrooke / des Groseilliers),14
Bennett / Ste-Catherine,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),33
Bennett / Ste-Catherine,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),59
Métro Henri-Bourassa (Henri-Bourassa / Millen),Métro Beaubien (de St-Vallier / Beaubien),2
Bennett / Ste-Catherine,St-Hubert / de Maisonneuve (nord),6
Métro Henri-Bourassa (Henri-Bourassa / Millen),Métro Henri-Bourassa (Henri-Bourassa / Millen),15
Métro Henri-Bourassa (Henri-Bourassa / Millen),Laurier / St-Denis,7
Bennett / Ste-Catherine,Bennett / Ste-Catherine,25
Métro Radisson (Sherbrooke / des Groseilliers),Ste-Catherine / St-Clément,1
Bennett / Ste-Catherine,Ste-Catherine / St-Clément,22
Métro Radisson (Sherbrooke / des Groseilliers),Métro Parc  (Hutchison / Ogilvy),7
Métro Henri-Bourassa (Henri-Bourassa / Millen),Roy / St-André,2
Bennett / Ste-Catherine,Émile-Duployé / Sherbrooke,3
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Chabanel / du Parc,34
Dorion / Ontario,Dorion / Ontario,38
Dorion / Ontario,Place Valois (Valois / Ontario),30
Fullum / Marie-Anne,du Mont-Royal / de Brébeuf,21
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Square Viger (Berri / Viger),42
de la Côte-Ste-Catherine / Decelles,Roy / Saint-Laurent,1
de la Côte-Ste-Catherine / Decelles,St-Urbain / Laurier,2
Dorion / Ontario,de Maisonneuve / Aylmer (est),35
Dorion / Ontario,Roy / Saint-Laurent,3
Dorion / Ontario,Métro Joliette  (Hochelaga / Joliette),7
Dorion / Ontario,Aylwin / Ontario,35
Fullum / Marie-Anne,Métro Sherbrooke (de Rigaud / Berri),15
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Clark / de l'Arcade,12
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Métro Papineau (Dorion / De Maisonneuve),5
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Métro Mont-Royal (Utilités publiques / Rivard),11
de la Côte-Ste-Catherine / Decelles,Métro Frontenac (Ontario / du Havre),4
de la Côte-Ste-Catherine / Decelles,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),5
Dorion / Ontario,Métro St-Laurent (de Maisonneuve / St-Laurent),22
Dorion / Ontario,Métro Papineau (Dorion / De Maisonneuve),239
Dorion / Ontario,Marché St-Jacques (Atateken),62
Dorion / Ontario,Métro Frontenac (Ontario / du Havre),46
Dorion / Ontario,Émery / St-Denis,14
Dorion / Ontario,Émile-Duployé / Rachel,4
de la Côte-Ste-Catherine / Decelles,Masson / Molson,3
Dorion / Ontario,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),143
Dorion / Ontario,Stanley / René-Lévesque,13
Dorion / Ontario,Ste-Catherine / Union,25
Fullum / Marie-Anne,Cartier / Marie-Anne,43
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Berri / de Maisonneuve,8
Dorion / Ontario,Berri / de Maisonneuve,32
Dorion / Ontario,Place Ville-Marie (Robert-Bourassa / René-Lévesque),3
Fullum / Marie-Anne,Berri / de Maisonneuve,4
Dorion / Ontario,Cathcart / McGill College,35
Dorion / Ontario,BAnQ (Berri),14
Parc du Père-Marquette (de Bellechasse / de Lanaudière),Clark / Ontario,4
Dorion / Ontario,Clark / Ontario,10
Dorion / Ontario,Gare d'autocars de Montréal (Berri / Ontario),23
Dorion / Ontario,Métro Place-d'Armes (St-Urbain / Viger),13
Fullum / Marie-Anne,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),17
de la Côte-Ste-Catherine / Decelles,de la Côte-Ste-Catherine / Decelles,5
Dorion / Ontario,St-Antoine / Jean-Paul Riopelle,4
Dorion / Ontario,de Maisonneuve / de Bleury,47
Dorion / Ontario,René-Lévesque / Papineau,16
Dorion / Ontario,de Maisonneuve / Mackay,18
Dorion / Ontario,Laurier / de Brébeuf,14
Dorion / Ontario,de Maisonneuve / Fullum,11
Fullum / Marie-Anne,Place Valois (Valois / Ontario),9
Fullum / Marie-Anne,Bernard / Jeanne-Mance,20
Fullum / Marie-Anne,Métro Rosemont (de St-Vallier / Rosemont),11
Fullum / Marie-Anne,Villeray / De Normanville,5
Ontario / Ville-Marie,Dorion / Ontario,19
Ontario / Ville-Marie,Métro Viau (Pierre-de-Coubertin / Viau),40
Ontario / Ville-Marie,Place Valois (Valois / Ontario),18
Ottawa / William,Métro Lionel-Groulx (St-Jacques / Atwater),34
Ottawa / William,Atwater / Greene,4
Fullum / Marie-Anne,Aylwin / Ontario,27
Fullum / Marie-Anne,Square Viger (Berri / Viger),36
Fullum / Marie-Anne,15e avenue / Laurier,29
Fullum / Marie-Anne,du Mont-Royal / Clark,14
Fullum / Marie-Anne,de l'Hôtel-de-Ville / Rachel,10
Ontario / Ville-Marie,Aylwin / Ontario,14
Ottawa / William,St-Patrick / Thomas-Keefer,3
Fullum / Marie-Anne,Métro Frontenac (Ontario / du Havre),61
Fullum / Marie-Anne,Métro Mont-Royal (Utilités publiques / Rivard),61
Fullum / Marie-Anne,Marché St-Jacques (Atateken),16
Fullum / Marie-Anne,Rachel / de Brébeuf,4
Fullum / Marie-Anne,Métro Papineau (Dorion / De Maisonneuve),13
Fullum / Marie-Anne,Collège de Rosemont (Beaubien / 15e avenue),2
Ontario / Ville-Marie,Marché Maisonneuve (Ontario / Morgan),24
Ontario / Ville-Marie,Métro Mont-Royal (Utilités publiques / Rivard),3
Ottawa / William,de la Montagne / Notre-Dame,27
Fullum / Marie-Anne,de Maisonneuve / Mansfield (sud),3
Fullum / Marie-Anne,Peel / Notre-Dame,25
Fullum / Marie-Anne,Ste-Catherine / Union,7
Fullum / Marie-Anne,des Érables / Laurier,31
Fullum / Marie-Anne,du Havre / Hochelaga,23
Fullum / Marie-Anne,Viger / Chenneville,6
Fullum / Marie-Anne,Métro Pie-IX (Pierre-de-Coubertin / Desjardins),4
Fullum / Marie-Anne,du Parc-Lafontaine / Rachel,9
Ontario / Ville-Marie,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),7
Ottawa / William,Peel / Notre-Dame,35
Ottawa / William,Smith / Peel,10
Fullum / Marie-Anne,Messier / St-Joseph,11
Ottawa / William,Place Ville-Marie (Robert-Bourassa / René-Lévesque),2
Ottawa / William,de la Commune / St-Sulpice,31
Ottawa / William,Place du Canada (Peel / des Canadiens-de-Montréal),2
Fullum / Marie-Anne,Fabre / Jean-Talon,4
Fullum / Marie-Anne,de Gaspé / Marmier,17
Fullum / Marie-Anne,Laurier / St-Denis,19
Fullum / Marie-Anne,BAnQ (Berri),16
Fullum / Marie-Anne,Christophe-Colomb / Beaubien,26
Ontario / Ville-Marie,Bennett / Ste-Catherine,13
Ottawa / William,Cathcart / McGill College,3
Ottawa / William,Métro de l'Église (Ross / de l'Église),1
Fullum / Marie-Anne,St-Viateur / Casgrain,17
Fullum / Marie-Anne,Métro Peel (de Maisonneuve / Stanley),1
Fullum / Marie-Anne,Omer-Lavallée / du Midway,19
