name,number,num,thefts,collisions,bicycle_commuters,average_income,bikeshare_stations,bike_parking_racks
West Humber-Clairville,001,1,90,16,0.00619195,40560,0,0
Mount Olive-Silverstone-Jamestown,002,2,67,4,0.000987654,35000,0,1
Thistletown-Beaumond Heights,003,3,30,4,0.005943536,41520,1,0
Rexdale-Kipling,004,4,15,4,0.002717391,42040,0,0
Elms-Old Rexdale,005,5,23,4,0,41240,3,0
Kingsview Village-The Westway,006,6,36,4,0.002238806,44880,0,0
Willowridge-Martingrove-Richview,007,7,38,5,0.002327386,53750,0,0
Humber Heights-Westmount,008,8,31,11,0,60900,1,0
Edenbridge-Humber Valley,009,9,42,4,0.005656109,98200,2,0
Princess-Rosethorn,010,10,28,4,0.005102041,101900,0,0
Eringate-Centennial-West Deane,011,11,25,2,0.007213706,57000,0,0
Markland Wood,012,12,60,4,0.003824092,71900,0,0
Etobicoke West Mall,013,13,35,9,0.00248139,48240,0,0
Kingsway South,015,15,85,2,0.010582011,153000,5,0
Stonegate-Queensway,016,16,135,3,0.014778325,78900,4,0
New Toronto,018,18,138,6,0.01994302,52450,5,1
Long Branch,019,19,153,6,0.012145749,61500,5,0
Alderwood,020,20,50,5,0.015531661,60200,0,0
Humber Summit,021,21,33,7,0.002528445,38400,0,0
Humbermede,022,22,31,7,0.005872483,38280,2,0
Pelmo Park-Humberlea,023,23,21,12,0.00388601,49000,2,0
Black Creek,024,24,59,2,0.004601227,33720,3,0
Glenfield-Jane Heights,025,25,107,5,0.002538071,35840,3,0
York University Heights,027,27,252,7,0.007503752,39200,14,0
Rustic,028,28,14,3,0.008833922,40120,1,0
Maple Leaf,029,29,10,12,0.004392387,47560,0,0
Brookhaven-Amesbury,030,30,46,1,0.002544529,42240,4,0
Yorkdale-Glen Park,031,31,170,2,0.007561437,46960,4,1
Englemount-Lawrence,032,32,133,7,0.006314128,63450,1,0
Clanton Park,033,33,102,2,0.007569386,62750,0,0
Bathurst Manor,034,34,54,2,0.003898635,54400,3,0
Westminster-Branson,035,35,85,2,0.00731982,43360,2,0
Newtonbrook West,036,36,102,5,0.00875,43440,2,0
Willowdale West,037,37,113,10,0.002314815,56900,2,1
Lansing-Westgate,038,38,82,10,0.003618818,77300,0,0
Bedford Park-Nortown,039,39,132,4,0.008226691,127100,0,0
St.Andrew-Windfields,040,40,90,5,0.004761905,102300,2,0
Bridle Path-Sunnybrook-York Mills,041,41,62,2,0.00795756,237600,5,0
Banbury-Don Mills,042,42,92,7,0.009509876,77800,4,0
Victoria Village,043,43,24,8,0.006036217,44280,3,0
Flemingdon Park,044,44,62,7,0.01015625,38040,5,1
Pleasant View,046,46,42,3,0.004872107,45400,0,0
Don Valley Village,047,47,84,6,0.001986755,46280,2,0
Hillcrest Village,048,48,26,7,0.004115226,49280,1,0
Bayview Woods-Steeles,049,49,19,8,0.005050505,56350,0,0
Newtonbrook East,050,50,131,2,0.00952381,52150,3,0
Bayview Village,052,52,162,10,0.001749781,59350,3,0
Henry Farm,053,53,55,5,0.003392706,49360,1,0
O`Connor Parkview,054,54,71,9,0.015384615,53550,7,1
Thorncliffe Park,055,55,126,2,0.008064516,37680,5,2
Leaside-Bennington,056,56,223,10,0.021887825,141600,6,0
Broadview North,057,57,135,20,0.033794163,54050,6,0
Old East York,058,58,31,16,0.025316456,63800,3,0
Danforth-East York,059,59,113,12,0.04028436,67200,5,1
Woodbine-Lumsden,060,60,67,4,0.04784689,61550,3,0
Taylor Massey,061,61,110,5,0.008064516,40720,4,0
East End Danforth,062,62,446,14,0.033605813,66800,9,1
The Beaches,063,63,364,10,0.052238806,108800,13,1
