station_id,num_bikes_available,num_bikes_available_types/mechanical,num_bikes_available_types/ebike,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning
7000,12,11,1,1,33,1,1739501070,FALSE,IN_SERVICE,1,1,1
7001,4,4,0,0,19,0,1739501212,TRUE,IN_SERVICE,1,1,1
7002,5,5,0,1,10,1,1739501206,FALSE,IN_SERVICE,1,1,1
7003,5,5,0,0,10,0,1739501089,FALSE,IN_SERVICE,1,1,1
7005,15,15,0,0,6,0,1739501097,FALSE,IN_SERVICE,1,1,1
7006,14,14,0,1,15,1,1739501210,FALSE,IN_SERVICE,1,1,1
7007,11,11,0,0,8,0,1739501173,FALSE,IN_SERVICE,1,1,1
7008,15,15,0,1,2,0,1739501190,FALSE,IN_SERVICE,1,1,1
7009,21,20,1,0,3,0,1739501114,FALSE,IN_SERVICE,1,1,1
7010,16,16,0,0,1,0,1739501153,FALSE,IN_SERVICE,1,1,1
7012,10,10,0,0,5,0,1739501205,FALSE,IN_SERVICE,1,1,1
7013,18,18,0,1,0,0,1739501136,FALSE,IN_SERVICE,1,1,1
7014,3,3,0,0,14,0,1739501212,FALSE,IN_SERVICE,1,1,1
7015,7,7,0,0,31,0,1739501145,FALSE,IN_SERVICE,1,1,1
7016,24,24,0,1,9,0,1739501106,FALSE,IN_SERVICE,1,1,1
7017,2,2,0,0,10,0,1739501124,FALSE,IN_SERVICE,1,1,1
7018,38,38,0,0,11,0,1739501208,FALSE,IN_SERVICE,1,1,1
7019,42,42,0,0,13,0,1739501044,FALSE,IN_SERVICE,1,1,1
7020,30,30,0,1,0,0,1739501163,FALSE,IN_SERVICE,1,1,1
7021,22,22,0,0,40,0,1739501046,FALSE,IN_SERVICE,1,1,1
7022,38,37,1,0,0,0,1739501124,FALSE,IN_SERVICE,1,1,1
7023,6,6,0,0,5,0,1739501136,FALSE,IN_SERVICE,1,1,1
7024,14,14,0,0,25,0,1739501150,FALSE,IN_SERVICE,1,1,1
7025,10,10,0,0,13,0,1739501075,FALSE,IN_SERVICE,1,1,1
7026,3,3,0,0,10,1,1739501179,FALSE,IN_SERVICE,1,1,1
7027,15,15,0,0,15,0,1739501133,FALSE,IN_SERVICE,1,1,1
7028,11,11,0,0,18,0,1739501185,FALSE,IN_SERVICE,1,1,1
7029,9,9,0,2,2,0,1739501199,FALSE,IN_SERVICE,1,1,1
7030,10,10,0,0,24,1,1739501113,FALSE,IN_SERVICE,1,1,1
7031,9,9,0,0,12,2,1739501190,FALSE,IN_SERVICE,1,1,1
7032,2,2,0,0,12,1,1739501142,FALSE,IN_SERVICE,1,1,1
7033,5,5,0,2,19,1,1739501147,FALSE,IN_SERVICE,1,1,1
7034,1,1,0,1,13,0,1739501076,FALSE,IN_SERVICE,1,1,1
7035,12,12,0,0,19,0,1739501136,FALSE,IN_SERVICE,1,1,1
7036,5,5,0,0,13,0,1739501198,FALSE,IN_SERVICE,1,1,1
7037,1,1,0,1,25,0,1739501215,FALSE,IN_SERVICE,1,1,1
7038,6,6,0,0,9,0,1739501171,FALSE,IN_SERVICE,1,1,1
7039,12,12,0,0,7,0,1739501211,FALSE,IN_SERVICE,1,1,1
7040,0,0,0,0,19,0,1739501187,FALSE,IN_SERVICE,1,1,1
7041,2,2,0,0,21,0,1739501216,FALSE,IN_SERVICE,1,1,1
7042,15,15,0,0,15,1,1739501074,FALSE,IN_SERVICE,1,1,1
7043,15,15,0,0,4,0,1739501177,FALSE,IN_SERVICE,1,1,1
7044,21,21,0,1,13,0,1739501070,FALSE,IN_SERVICE,1,1,1
7045,13,13,0,0,23,1,1739501165,FALSE,IN_SERVICE,1,1,1
7046,2,2,0,0,39,0,1739501183,FALSE,IN_SERVICE,1,1,1
7047,3,3,0,0,22,0,1739501184,FALSE,IN_SERVICE,1,1,1
7048,37,37,0,0,10,0,1739501090,FALSE,IN_SERVICE,1,1,1
7049,12,11,1,1,2,0,1739501093,FALSE,IN_SERVICE,1,1,1
7050,1,1,0,0,15,0,1739501111,TRUE,IN_SERVICE,1,1,1
7052,27,27,0,0,27,0,1739501098,FALSE,IN_SERVICE,1,1,1
7053,15,15,0,1,11,0,1739501043,FALSE,IN_SERVICE,1,1,1
7054,9,9,0,0,0,0,1739501217,FALSE,IN_SERVICE,1,1,1
7055,0,0,0,1,12,0,1739501182,FALSE,IN_SERVICE,1,1,1
7057,19,19,0,0,7,0,1739501179,FALSE,IN_SERVICE,1,1,1
7059,3,3,0,0,12,0,1739501039,FALSE,IN_SERVICE,1,1,1
7061,2,2,0,0,10,3,1739501120,FALSE,IN_SERVICE,1,1,1
7063,6,6,0,1,15,0,1739501057,FALSE,IN_SERVICE,1,1,1
7064,7,7,0,0,12,0,1739501125,FALSE,IN_SERVICE,1,1,1
7065,12,11,1,0,3,0,1739501168,FALSE,IN_SERVICE,1,1,1
7066,10,10,0,2,3,0,1739501157,FALSE,IN_SERVICE,1,1,1
7068,3,3,0,0,20,0,1739501132,FALSE,IN_SERVICE,1,1,1
7069,9,9,0,0,2,0,1739501041,FALSE,IN_SERVICE,1,1,1
7070,6,6,0,0,5,0,1739501040,FALSE,IN_SERVICE,1,1,1
7071,12,12,0,0,11,0,1739501202,FALSE,IN_SERVICE,1,1,1
7073,11,11,0,3,9,0,1739501173,FALSE,IN_SERVICE,1,1,1
7074,8,8,0,0,6,0,1739501147,FALSE,IN_SERVICE,1,1,1
7075,7,7,0,0,20,0,1739501115,FALSE,IN_SERVICE,1,1,1
7076,16,16,0,0,39,1,1739501079,FALSE,IN_SERVICE,1,1,1
7077,5,5,0,1,13,0,1739501042,FALSE,IN_SERVICE,1,1,1
7078,8,7,1,1,5,1,1739501088,FALSE,IN_SERVICE,1,1,1
7079,2,1,1,1,16,0,1739501040,FALSE,IN_SERVICE,1,1,1
7083,7,7,0,0,8,0,1739501168,FALSE,IN_SERVICE,1,1,1
7084,1,1,0,0,10,0,1739501045,FALSE,IN_SERVICE,1,1,1
7085,1,1,0,0,14,0,1739501051,FALSE,IN_SERVICE,1,1,1
7086,4,4,0,1,18,0,1739501148,FALSE,IN_SERVICE,1,1,1
7087,10,10,0,1,0,0,1739501161,FALSE,IN_SERVICE,1,1,1
7088,2,2,0,1,11,1,1739501048,FALSE,IN_SERVICE,1,1,1
7089,13,13,0,0,14,0,1739501050,FALSE,IN_SERVICE,1,1,1
7090,1,1,0,0,17,1,1739501113,FALSE,IN_SERVICE,1,1,1
7091,1,1,0,0,14,0,1739501142,FALSE,IN_SERVICE,1,1,1
7093,16,16,0,0,8,1,1739501056,FALSE,IN_SERVICE,1,1,1
7094,2,2,0,0,23,0,1739501208,TRUE,IN_SERVICE,1,1,1
7095,1,1,0,0,13,0,1739501121,FALSE,IN_SERVICE,1,1,1
7096,3,3,0,0,14,2,1739501181,FALSE,IN_SERVICE,1,1,1
7097,1,1,0,0,14,0,1739501126,FALSE,IN_SERVICE,1,1,1
7098,3,3,0,0,12,0,1739501076,FALSE,IN_SERVICE,1,1,1
7099,1,1,0,0,10,0,1739501175,FALSE,IN_SERVICE,1,1,1
7100,10,10,0,1,14,1,1739501083,FALSE,IN_SERVICE,1,1,1
7101,21,21,0,2,3,1,1739501122,FALSE,IN_SERVICE,1,1,1
7102,15,15,0,0,13,1,1739501212,FALSE,IN_SERVICE,1,1,1
7103,14,14,0,0,1,0,1739501178,FALSE,IN_SERVICE,1,1,1
7104,6,6,0,1,7,1,1739501133,FALSE,IN_SERVICE,1,1,1
7105,5,5,0,0,9,1,1739501134,FALSE,IN_SERVICE,1,1,1
7106,8,8,0,0,19,0,1739501095,FALSE,IN_SERVICE,1,1,1
7107,2,2,0,0,13,0,1739501216,FALSE,IN_SERVICE,1,1,1
7108,1,1,0,0,13,1,1739501125,FALSE,IN_SERVICE,1,1,1
7109,2,2,0,1,29,0,1739501085,FALSE,IN_SERVICE,1,1,1
7110,2,2,0,1,11,1,1739501171,FALSE,IN_SERVICE,1,1,1
7111,1,1,0,1,9,0,1739501176,FALSE,IN_SERVICE,1,1,1
7112,3,3,0,1,13,2,1739501182,FALSE,IN_SERVICE,1,1,1
7113,2,2,0,2,11,0,1739501099,FALSE,IN_SERVICE,1,1,1
7114,16,16,0,1,8,0,1739501076,FALSE,IN_SERVICE,1,1,1
7115,12,4,8,0,18,1,1739501161,FALSE,IN_SERVICE,1,1,1
7116,1,1,0,0,17,1,1739501216,FALSE,IN_SERVICE,1,1,1
7117,3,3,0,0,14,2,1739501052,FALSE,IN_SERVICE,1,1,1
7118,8,7,1,1,9,0,1739501087,FALSE,IN_SERVICE,1,1,1
7119,3,3,0,1,9,0,1739501189,FALSE,IN_SERVICE,1,1,1
7120,6,6,0,1,2,0,1739501155,FALSE,IN_SERVICE,1,1,1
7121,6,6,0,0,21,0,1739501081,FALSE,IN_SERVICE,1,1,1
7122,7,7,0,0,8,0,1739501215,FALSE,IN_SERVICE,1,1,1
7123,6,6,0,0,5,2,1739501074,FALSE,IN_SERVICE,1,1,1
7124,10,9,1,0,7,1,1739501111,FALSE,IN_SERVICE,1,1,1
7126,3,3,0,0,12,2,1739501205,FALSE,IN_SERVICE,1,1,1
7127,7,7,0,0,8,0,1739501104,FALSE,IN_SERVICE,1,1,1
7128,4,4,0,0,19,0,1739501126,FALSE,IN_SERVICE,1,1,1
7129,3,3,0,2,5,1,1739501216,FALSE,IN_SERVICE,1,1,1
7130,5,5,0,1,8,0,1739501193,FALSE,IN_SERVICE,1,1,1
7131,1,1,0,2,11,1,1739501207,FALSE,IN_SERVICE,1,1,1
7132,0,0,0,1,7,1,1739501124,FALSE,IN_SERVICE,1,1,1
7133,1,1,0,0,10,0,1739501123,FALSE,IN_SERVICE,1,1,1
7135,16,16,0,0,14,0,1739501141,FALSE,IN_SERVICE,1,1,1
7137,0,0,0,0,13,1,1739501084,FALSE,IN_SERVICE,1,1,1
7138,7,7,0,0,20,0,1739501201,FALSE,IN_SERVICE,1,1,1
